0,0,
18.4558073,73.8583457,
18.4573159,73.8578901,
18.4621524,73.8579517,
18.4676648,73.8577317,
18.4724999,73.8564784,
18.4739875,73.856239,
18.4789887,73.8571355,
18.4809718,73.8570942,
18.4829812,73.8571186,
18.4930408,73.8576109,
18.4949884,73.8578136,
18.501224,73.8551362,
18.499612,73.854998,
18.5141616,73.8425041,
18.513063,73.8404196,
18.5105279,73.8349778,
18.5100689,73.8339927,
18.5079268,73.8298823,
18.5069423,73.8283543,
18.5057062,73.8251943,
18.5035027,73.8202235,
18.510446,73.8158226,
18.5059022,73.8252311,
18.5069051,73.827451,
18.5059961,73.8328479,
18.5046582,73.8347029,
18.5047334,73.8382087,
18.504985,73.8429854,
18.5051374,73.8448712,
18.5035185,73.8452665,
18.5044114,73.8494057,
18.5042069,73.8531857,
18.5019189,73.8576596,
18.5012416,73.8583098,
18.4991659,73.858335,
18.4960568,73.8580928,
18.4942893,73.8579958,
18.4927332,73.8579205,
18.4779278,73.8618401,
